sep=,
vehicle_count,fps
0,100.952
1,2.733747
1,3.034672
1,3.363669
1,3.732647
1,4.137715
1,4.565496
1,5.005481
1,5.483276
1,6.047716
1,6.697495
1,7.401194
1,8.186049
1,9.041438
1,9.961823
1,11.01736
1,12.15272
1,13.39415
1,14.73652
1,16.24158
1,17.79096
1,19.55799
1,21.43072
1,23.50648
1,25.66715
1,28.04477
1,30.66335
1,33.34003
1,36.17709
1,39.32122
1,42.60426
1,45.89969
1,49.56218
1,53.24389
1,57.32667
1,61.44197
1,65.37111
1,70.03071
1,74.4669
1,78.57819
1,83.4281
1,88.11037
1,92.69695
1,97.25746
1,100.7255
1,105.1445
1,109.5202
1,114.0803
1,118.3793
1,122.1952
1,125.2972
1,129.93
1,132.1575
1,134.7029
1,138.7707
1,141.958
1,144.2441
1,147.6415
1,149.5051
1,151.6499
1,153.6197
1,154.0328
1,155.2691
1,156.7819
1,159.6024
1,159.6834
1,161.5216
1,163.2024
1,163.6312
1,164.4674
1,164.6218
1,162.7298
1,165.0867
1,165.7416
1,166.3379
1,167.5063
1,167.455
1,168.8588
1,170.1266
1,167.2717
1,169.8855
1,168.7562
1,168.0524
1,169.5043
1,169.1023
1,168.3048
1,169.0506
1,167.8373
1,164.5366
1,165.4252
1,163.3713
1,166.2515
1,167.2236
1,165.237
1,166.8551
1,167.282
1,160.5083
1,165.5378
1,167.3832
1,163.9013
1,165.6156
1,164.3566
1,165.1517
1,167.274
1,164.1475
1,163.3833
1,165.4274
1,161.4077
1,158.7124
1,158.1189
1,158.0384
1,159.5953
1,154.0574
1,141.3952
1,145.8041
1,143.9324
1,133.9216
1,126.4984
1,127.145
1,123.2715
1,123.7663
1,117.0761
1,116.451
1,112.0699
1,107.3144
1,111.9718
1,113.0091
1,115.9672
1,114.4792
1,119.1281
1,117.6984
1,117.334
1,119.2873
1,122.7171
1,116.449
1,119.4904
1,117.3204
1,120.756
1,120.218
1,124.0496
1,128.5504
1,126.4284
1,132.1015
1,134.4512
1,138.137
1,138.7979
1,134.1789
1,138.378
1,133.8053
1,132.0875
1,130.7224
1,135.6019
1,138.5805
1,141.7137
1,145.074
1,145.9643
1,146.6931
1,149.4421
1,146.8045
1,150.2193
1,152.6648
1,152.5469
1,155.1132
1,158.3711
1,153.3224
1,159.0697
1,157.2975
1,157.3091
1,139.6712
1,145.0759
1,145.8851
1,142.4668
1,135.7357
1,141.1567
1,144.5836
1,140.6762
1,139.4626
1,138.7445
1,136.7147
1,137.4487
1,140.4475
1,143.6206
1,146.3152
1,149.0033
1,149.7399
1,147.8037
1,151.6903
1,150.1152
1,152.5894
1,150.2679
1,148.1904
1,150.7798
1,151.3324
1,152.27
1,155.367
1,156.0049
1,158.9843
1,160.5122
1,161.9438
1,164.3568
1,163.1507
1,164.0662
1,166.7786
1,167.2033
1,168.3204
1,170.678
1,171.7208
1,171.8061
1,172.405
1,171.7568
1,171.5323
1,173.4089
1,174.6544
1,175.4794
1,176.3212
1,176.6129
1,176.0281
1,174.9653
1,176.2134
1,175.6363
1,176.8126
1,177.6128
1,170.7705
1,176.2086
1,173.9172
1,166.7532
1,166.3114
1,165.1272
1,165.5533
1,164.4546
1,155.3945
1,153.3812
1,147.0073
1,142.3383
1,137.3632
1,138.6431
1,129.8928
1,130.26
1,131.1197
1,134.8973
1,131.9505
1,132.9135
1,129.8855
1,133.1244
1,129.7583
1,132.2963
1,131.6113
1,131.9225
1,137.7358
1,135.6775
1,139.2531
1,136.4751
1,136.3507
1,141.8212
1,139.2408
1,142.9568
1,139.7947
1,145.0974
1,147.5838
1,143.5618
1,145.1253
1,141.3552
1,144.5156
1,151.2077
1,150.7218
1,154.431
1,156.7922
1,152.9887
1,155.7708
1,153.8471
1,155.2915
1,157.9911
1,156.8198
1,160.193
1,162.0101
1,154.5316
1,159.6967
1,158.5765
1,158.4858
1,162.1554
1,160.1799
1,162.933
1,165.2515
1,157.8155
2,155.1168
2,151.645
2,157.3105
2,157.1302
2,152.7249
2,156.4272
2,158.6212
2,160.3167
2,162.4081
2,163.5086
2,163.0251
2,165.0537
2,161.7372
2,162.0464
2,163.9657
2,165.1099
2,166.696
2,166.2237
2,160.2497
2,162.7169
2,164.5955
2,166.0787
2,163.4103
2,167.539
2,169.5271
2,170.9882
2,167.095
2,166.4021
2,166.7474
2,164.2169
2,166.8114
2,168.7306
2,170.0919
2,171.116
2,169.7251
2,171.1338
2,172.5381
2,173.2763
2,172.0884
2,173.2679
2,174.4403
2,175.6785
2,175.2303
2,171.8908
2,173.2894
2,174.1479
2,172.6665
2,174.3509
2,173.6532
2,174.5873
2,174.5051
2,172.275
2,172.7355
2,172.3747
2,173.4471
2,172.4277
2,173.1677
2,173.1532
2,173.5614
2,173.6028
2,171.1263
2,171.2733
2,172.6916
2,172.7252
2,173.0987
2,172.781
2,173.8898
2,174.7402
2,171.8345
2,172.3114
2,173.09
2,173.82
2,173.4323
2,174.1
2,172.8966
2,173.1082
2,173.2502
2,170.9425
2,170.6145
2,171.9876
2,172.4375
2,171.7283
2,172.1384
2,172.467
2,172.725
2,171.1914
2,172.8109
2,172.1249
2,172.7539
2,172.3685
2,172.4786
2,171.8057
2,172.2167
2,171.3716
2,170.8539
2,169.6747
2,171.1489
2,171.041
2,170.632
2,170.9516
2,171.1591
2,171.26
2,169.3618
2,170.9391
2,169.9642
2,168.4036
2,169.0902
2,169.5602
2,168.9757
2,168.8345
2,165.72
2,167.7963
2,166.6535
2,168.2766
2,168.9829
2,169.1217
2,168.3615
2,168.0477
2,168.2923
2,169.9831
2,168.4195
2,169.6825
2,170.3347
2,170.8247
2,171.0651
2,171.1085
2,169.7012
2,171.0329
2,171.0247
2,169.4741
2,171.2315
2,171.7643
2,170.9809
2,171.6053
2,171.9364
2,169.6432
2,171.0644
2,170.7847
2,171.0441
2,171.6532
2,171.0127
2,171.8837
2,170.8117
2,169.5007
2,171.5566
2,172.0604
2,168.942
2,169.5308
2,169.908
2,170.3887
2,169.8182
2,170.7415
2,171.1178
2,170.8449
2,168.252
2,169.5191
2,169.8356
2,169.2245
2,170.2565
2,170.6123
2,170.9417
2,170.5541
2,170.987
2,169.1252
2,170.0851
2,170.4266
2,167.5284
2,169.8678
2,170.6112
2,170.2458
2,170.2248
2,170.6063
2,168.6226
2,170.0567
2,169.3038
2,169.9632
2,170.0768
2,170.3727
2,170.2827
2,170.0895
2,165.7775
2,168.3554
2,168.9365
2,167.6602
2,168.8268
2,169.5235
2,170.1172
2,170.5097
2,169.6536
2,168.4025
2,169.6433
2,168.802
2,169.4907
2,169.6579
2,169.6369
2,169.1944
2,168.0575
2,167.4798
2,168.5948
2,168.9137
2,165.1401
2,164.8468
2,164.8757
2,166.2771
2,165.8385
2,165.5748
2,166.339
2,165.726
2,165.1849
2,166.5862
2,167.5648
2,167.5282
2,168.1215
2,160.1734
2,167.5143
2,167.604
2,165.3964
2,167.9881
2,168.8595
2,168.3549
2,168.7265
2,167.1334
2,167.0324
2,168.9953
2,168.733
2,169.7078
2,169.2236
2,169.3994
2,168.5409
2,166.1574
2,164.65
2,164.8416
2,166.1125
2,164.4716
2,166.3587
2,167.0401
2,167.3327
2,168.5509
2,166.0202
2,168.4693
2,168.5463
2,168.0255
2,168.8034
2,168.8263
2,168.9348
2,168.9744
2,166.6755
2,167.1642
2,168.1831
2,168.4358
2,168.0968
2,168.0558
2,168.2381
2,168.4886
2,166.4495
2,166.072
2,167.0686
2,168.0246
2,167.9851
2,168.3293
2,168.5282
2,168.0782
2,166.1094
2,167.6936
2,166.486
2,168.0844
2,167.8533
2,168.2311
2,167.8719
2,167.6541
2,166.8208
2,166.7712
2,165.8145
2,167.9103
2,168.1168
2,165.9252
2,165.0445
2,166.4203
2,167.2774
2,166.9512
2,165.2849
2,163.889
2,164.6521
2,164.6161
2,165.3071
2,166.2189
2,163.53
2,165.7675
2,164.8489
2,164.1751
2,165.7473
2,165.8432
2,166.5361
2,167.1443
2,165.2978
2,167.1068
2,167.2135
2,165.7984
2,167.5286
2,167.4502
2,167.846
2,168.0904
2,168.3969
2,168.7255
2,169.236
2,168.5421
2,167.4458
2,168.9733
2,167.4451
2,168.1968
2,168.0423
2,167.5383
2,167.9082
2,168.5354
2,166.294
2,167.202
2,164.3668
2,165.5076
2,165.8252
2,166.217
2,166.4279
2,166.6312
2,165.0677
2,164.0569
2,159.513
2,163.6427
2,164.6281
2,164.7553
2,162.9002
2,164.6062
2,162.6531
2,163.8029
2,164.0687
2,164.877
2,164.9083
2,165.0234
3,163.8656
3,165.2104
3,164.2878
3,165.5657
3,165.8936
3,165.3821
3,165.2567
3,165.2389
3,163.3928
3,164.2692
3,162.614
3,165.294
3,165.337
3,166.1942
3,165.7695
3,166.4823
3,164.2392
3,166.1648
3,166.0699
3,165.0158
3,165.8484
3,165.8204
3,161.3294
3,162.9352
3,161.8157
3,134.6652
3,140.1267
3,139.959
3,118.3997
3,85.24227
3,79.5293
3,86.37926
3,90.23456
3,93.74052
3,97.441
3,101.7488
3,105.3822
3,108.744
3,112.6157
3,115.9794
3,118.6934
3,122.3328
3,123.8356
3,125.7947
3,126.9488
3,133.7472
3,135.1957
3,136.3043
3,138.3066
3,140.6968
3,142.577
3,145.0703
3,145.9895
3,146.8488
3,146.3944
3,145.9827
3,147.7741
3,148.4374
3,145.8834
3,153.4825
3,128.0193
