sep=,
vehicle_count,sim_step_execution_time
0,0
0,0
0,0
0,0
0,0
0,0
1,0
2,34
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
16,1
17,1
18,1
19,1
19,1
20,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,2
31,1
32,2
33,2
34,2
35,1
36,2
37,1
38,2
39,2
40,2
41,2
43,2
45,2
46,2
47,2
48,3
49,2
50,2
51,2
52,2
52,2
53,2
54,2
55,2
56,3
57,2
58,2
59,2
60,2
62,2
63,2
63,2
63,2
64,2
64,3
65,2
67,3
68,3
69,2
69,2
70,3
70,3
71,3
71,2
72,2
72,2
73,3
73,3
74,2
75,3
76,2
77,3
79,2
79,3
80,2
81,3
82,3
84,3
84,3
85,3
86,3
86,3
87,3
88,6
89,3
90,3
93,3
94,4
94,3
94,3
95,3
95,3
96,3
97,7
98,3
100,3
100,3
101,3
102,3
105,3
106,6
107,3
108,3
108,3
110,3
112,4
113,5
114,7
115,4
115,3
116,5
117,4
119,4
120,6
120,5
121,5
121,4
121,3
123,9
127,6
128,5
129,6
129,4
130,4
131,4
131,6
131,5
133,4
133,7
134,4
135,8
136,4
138,5
139,5
140,4
140,4
141,4
142,4
143,4
143,4
143,5
144,4
145,4
146,4
146,6
145,4
147,6
148,4
148,4
150,4
151,4
152,4
152,4
153,8
155,4
155,4
157,4
157,4
158,5
159,4
159,4
159,4
159,4
159,4
159,4
159,4
161,4
162,6
165,4
166,4
167,5
168,4
169,4
171,4
173,4
173,5
175,4
176,4
176,4
178,4
181,5
181,4
180,5
181,5
181,4
182,4
182,5
182,5
182,4
182,5
183,5
182,6
182,7
184,4
183,5
184,5
185,5
185,4
184,4
186,6
187,5
187,5
188,5
190,5
192,5
194,5
194,5
195,5
196,5
197,5
198,5
200,5
201,5
201,5
201,19
201,5
202,6
203,19720
204,2347
205,6
206,6
207,5
207,6
208,5
209,6
208,5
209,5
211,5
211,6
212,5
213,6
214,5
213,5
214,5
214,5
214,5
214,5
215,5
216,5
216,6
217,5
218,5
218,5
220,5
222,5
223,5
224,5
226,5
226,5
226,5
226,5
226,6
227,7
229,7
229,6
230,10
230,6
229,6
230,7
231,6
232,4495
232,15614
232,6
232,6
233,6
235,5
236,6
237,6
237,6
239,6
238,6
238,6
239,7
242,6
243,14
243,6
243,6
243,6
244,6
244,6
245,6
246,6
249,6
250,11
250,6
250,8
251,6
252,6
251,7
252,6
252,6
253,6
253,6
253,6
253,6
253,8
254,6
255,7
256,6
257,6
258,6
258,8
259,6
261,7
262,6
264,7
264,6
265,6
264,6
265,6
265,6
266,6
267,6
268,7
270,7
271,7
271,7
272,7
272,6
273,6
273,7
273,6
274,6
275,6
275,7
275,7
275,7
276,6
277,7
279,7
279,6
280,6
282,9
283,7
283,7
283,6
285,6
286,6
286,6
288,7
288,10
288,6
288,7
288,7
289,7
289,6
291,7
293,7
293,7
293,7
295,6
295,7
295,7
296,7
297,6
295,7
296,8
297,8
298,7
299,7
299,7
300,7
300,6
302,7
303,6
303,7
302,8
303,7
302,7
304,7
305,7
305,7
306,7
307,7
309,7
310,7
311,7
312,7
312,7
313,7
314,6
315,7
315,7
316,7
317,8
317,7
318,7
318,7
319,7
320,7
321,11
322,10
322,7
322,7
321,7
321,8
320,7
321,7
321,8
322,7
323,7
323,8
325,7
325,8
325,8
326,7
327,8
327,10
328,7
329,7
329,8
330,8
330,8
331,8
332,8
332,7
334,8
335,8
335,8
335,8
335,8
336,8
335,8
336,8
337,8
337,8
338,8
339,9
339,8
340,8
343,8
344,8
344,7
345,8
345,8
346,8
347,9
347,8
348,8
348,8
349,8
350,8
350,8
350,8
350,9
350,8
351,8
352,16
352,8
352,9
353,8
354,8
355,8
355,15
357,8
358,9
361,9
362,8
362,18
363,10
364,8
364,8
365,8
365,8
365,8
364,8
366,8
367,9
367,8
368,8
370,8
370,9
370,9
370,9
370,8
370,8
371,19
372,11
373,10
374,10
374,10
375,10
376,10
375,10
375,11
376,10
376,10
377,10
378,10
378,10
378,10
377,10
377,10
378,10
378,10
378,11
379,10
380,10
380,13
381,10
381,10
381,10
382,12
382,10
383,10
383,10
384,10
384,10
384,10
385,10
385,11
385,10
385,10
385,10
386,10
387,10
388,10
389,11
389,10
390,10
390,10
390,10
391,10
390,10
390,10
391,10
391,12
392,11
393,11
393,11
394,11
394,10
394,10
394,11
397,11
398,11
400,10
401,13
401,12
400,13
402,12
403,21
404,11
404,11
405,19
407,10
408,12
409,10
410,11
411,17
411,11
411,10
413,11
414,11
415,11
415,10
416,10
416,11
416,10
417,11
417,11
418,12
418,11
418,11
418,11
419,11
419,11
419,11
420,11
421,11
421,12
421,11
421,11
422,11
422,11
423,11
424,12
424,11
424,11
425,12
428,12
428,11
428,11
428,11
428,11
428,11
428,11
429,11
430,11
431,11
432,11
433,12
433,11
